,iso_country,coords,name,type,municipality,coords_lon,coords_lat,latlong,display_str
56568,AU,"145.60800170898438, -35.81169891357422",Tocumwal Airport,small_airport,,145.60800170898438,-35.81169891357422,"[-35.81169891357422, 145.60800170898438]",Tocumwal Airport |  | small_airport
56569,AU,"149.53199768066406, -30.082199096679688",Togo Station Airport,small_airport,,149.53199768066406,-30.082199096679688,"[-30.082199096679688, 149.53199768066406]",Togo Station Airport |  | small_airport
56570,AU,"147.16700744628906, -25.11669921875",Torres Park Homestead Airport,small_airport,,147.16700744628906,-25.11669921875,"[-25.11669921875, 147.16700744628906]",Torres Park Homestead Airport |  | small_airport
56571,AU,"139.9499969482422, -29.549999237060547",Tenneco Station Two Airport,small_airport,,139.9499969482422,-29.549999237060547,"[-29.549999237060547, 139.9499969482422]",Tenneco Station Two Airport |  | small_airport
56572,AU,"147.3679962158203, -32.24829864501953",Tottenham Airport,small_airport,,147.3679962158203,-32.24829864501953,"[-32.24829864501953, 147.3679962158203]",Tottenham Airport |  | small_airport
56573,AU,"132.42300415039062, -24.38249969482422",Tempe Downs Airport,small_airport,,132.42300415039062,-24.38249969482422,"[-24.38249969482422, 132.42300415039062]",Tempe Downs Airport |  | small_airport
56574,AU,"144.36500549316406, -38.29999923706055",Torquay Airport,small_airport,TORQUAY,144.36500549316406,-38.29999923706055,"[-38.29999923706055, 144.36500549316406]",Torquay Airport | TORQUAY | small_airport
56575,AU,"144.5330047607422, -36.06669998168945",Torrumbarry Airport,small_airport,,144.5330047607422,-36.06669998168945,"[-36.06669998168945, 144.5330047607422]",Torrumbarry Airport |  | small_airport
56576,AU,"143.39999389648438, -24.08329963684082",Tarcombe Airport,small_airport,,143.39999389648438,-24.08329963684082,"[-24.08329963684082, 143.39999389648438]",Tarcombe Airport |  | small_airport
56577,AU,"152.514007568, -31.8885993958",Taree Airport,medium_airport,TAREE,152.514007568,-31.8885993958,"[-31.8885993958, 152.514007568]",Taree Airport | TAREE | medium_airport
56578,AU,"118.61699676513672, -23.61669921875",Turee Creek Airport,small_airport,,118.61699676513672,-23.61669921875,"[-23.61669921875, 118.61699676513672]",Turee Creek Airport |  | small_airport
56579,AU,"126.3809967041, -14.089699745178",Truscott-Mungalalu Airport,small_airport,ANJO_PENINSULA,126.3809967041,-14.089699745178,"[-14.089699745178, 126.3809967041]",Truscott-Mungalalu Airport | ANJO_PENINSULA | small_airport
56580,AU,"141.65699768066406, -13.984999656677246",Ti Tree Airport,small_airport,,141.65699768066406,-13.984999656677246,"[-13.984999656677246, 141.65699768066406]",Ti Tree Airport |  | small_airport
56581,AU,"126.14800262451172, -13.751700401306152",Troughton Is Airport,small_airport,,126.14800262451172,-13.751700401306152,"[-13.751700401306152, 126.14800262451172]",Troughton Is Airport |  | small_airport
56583,AU,"147.8979949951172, -42.51369857788086",Triabunna Airport,small_airport,,147.8979949951172,-42.51369857788086,"[-42.51369857788086, 147.8979949951172]",Triabunna Airport |  | small_airport
56584,AU,"118.125, -27.475000381469727",Tuckabiana Airport,small_airport,,118.125,-27.475000381469727,"[-27.475000381469727, 118.125]",Tuckabiana Airport |  | small_airport
56585,AU,"149.26699829101562, -24.466699600219727",Trugananni Airport,small_airport,,149.26699829101562,-24.466699600219727,"[-24.466699600219727, 149.26699829101562]",Trugananni Airport |  | small_airport
56586,AU,"147.36700439453125, -42.099998474121094",Tunbridge Airport,small_airport,,147.36700439453125,-42.099998474121094,"[-42.099998474121094, 147.36700439453125]",Tunbridge Airport |  | small_airport
56587,AU,"145.91700744628906, -17.933300018310547",Tully Airport,small_airport,,145.91700744628906,-17.933300018310547,"[-17.933300018310547, 145.91700744628906]",Tully Airport |  | small_airport
56588,AU,"143.66700744628906, -19.216699600219727",Talavera Airport,small_airport,,143.66700744628906,-19.216699600219727,"[-19.216699600219727, 143.66700744628906]",Talavera Airport |  | small_airport
56589,AU,"151.916, -27.542801",Toowoomba Airport,small_airport,TOOWOOMBA,151.916,-27.542801,"[-27.542801, 151.916]",Toowoomba Airport | TOOWOOMBA | small_airport
56590,AU,"146.7169952392578, -22.850000381469727",Trelawney Airport,small_airport,,146.7169952392578,-22.850000381469727,"[-22.850000381469727, 146.7169952392578]",Trelawney Airport |  | small_airport
56591,AU,"153.5466, -28.17769",The Tweed Hospital Helipad,heliport,TWEED_HEADS,153.5466,-28.17769,"[-28.17769, 153.5466]",The Tweed Hospital Helipad | TWEED_HEADS | heliport
56592,AU,"148.89999389648438, -31.441699981689453",Tooraweenah Airport,small_airport,,148.89999389648438,-31.441699981689453,"[-31.441699981689453, 148.89999389648438]",Tooraweenah Airport |  | small_airport
56594,AU,"145.175003052, -38.266700744599994",Tyabb Airport,small_airport,MELBOURNE,145.175003052,-38.266700744599994,"[-38.266700744599994, 145.175003052]",Tyabb Airport | MELBOURNE | small_airport
56595,AU,"153.551101685, -28.5946960394",Tyagarah Airport,small_airport,,153.551101685,-28.5946960394,"[-28.5946960394, 153.551101685]",Tyagarah Airport |  | small_airport
56596,AU,"133.91700744628906, -26.216699600219727",Tieyon Airport,small_airport,,133.91700744628906,-26.216699600219727,"[-26.216699600219727, 133.91700744628906]",Tieyon Airport |  | small_airport
56597,AU,"134.24090576171875, -17.672401428222656",Ucharonidge Airport,small_airport,UCHARONIDGE_STATION,134.24090576171875,-17.672401428222656,"[-17.672401428222656, 134.24090576171875]",Ucharonidge Airport | UCHARONIDGE_STATION | small_airport
56598,AU,"144.60000610351562, -18.200000762939453",Undara Airport,small_airport,,144.60000610351562,-18.200000762939453,"[-18.200000762939453, 144.60000610351562]",Undara Airport |  | small_airport
56599,AU,"138.35800170898438, -21.59000015258789",Urandangi Airport,small_airport,,138.35800170898438,-21.59000015258789,"[-21.59000015258789, 138.35800170898438]",Urandangi Airport |  | small_airport
56600,AU,"138.63299560546875, -19.625",Undilla Airport,small_airport,,138.63299560546875,-19.625,"[-19.625, 138.63299560546875]",Undilla Airport |  | small_airport
56601,AU,"133.70199584960938, -25.746700286865234",Umbeara Airport,small_airport,,133.70199584960938,-25.746700286865234,"[-25.746700286865234, 133.70199584960938]",Umbeara Airport |  | small_airport
56602,AU,"132.0399932861328, -26.4867000579834",Umuwa Airport,small_airport,,132.0399932861328,-26.4867000579834,"[-26.4867000579834, 132.0399932861328]",Umuwa Airport |  | small_airport
56603,AU,"139.61700439453125, -24.516700744628906",Cluny Airport,small_airport,,139.61700439453125,-24.516700744628906,"[-24.516700744628906, 139.61700439453125]",Cluny Airport |  | small_airport
56604,AU,"134.56700134277344, -14.716699600219727",Urapunga Airport,small_airport,,134.56700134277344,-14.716699600219727,"[-14.716699600219727, 134.56700134277344]",Urapunga Airport |  | small_airport
56605,AU,"150.4040069580078, -30.104700088500977",Upper Horton Wyl Airport,small_airport,,150.4040069580078,-30.104700088500977,"[-30.104700088500977, 150.4040069580078]",Upper Horton Wyl Airport |  | small_airport
56606,AU,"113.4000015258789, -26.16670036315918",Useless Loop Airport,small_airport,,113.4000015258789,-26.16670036315918,"[-26.16670036315918, 113.4000015258789]",Useless Loop Airport |  | small_airport
56607,AU,"134.7899932861328, -22.05500030517578",Utopia Airport,small_airport,,134.7899932861328,-22.05500030517578,"[-22.05500030517578, 134.7899932861328]",Utopia Airport |  | small_airport
56608,AU,"134.5800018310547, -22.233299255371094",Utopia Station Airport,small_airport,,134.5800018310547,-22.233299255371094,"[-22.233299255371094, 134.5800018310547]",Utopia Station Airport |  | small_airport
56609,AU,"147.29200744628906, -41.810001373291016",Valley Field Airport,small_airport,,147.29200744628906,-41.810001373291016,"[-41.810001373291016, 147.29200744628906]",Valley Field Airport |  | small_airport
56610,AU,"135.7169952392578, -30.58329963684082",Mount Vivian Airport,small_airport,,135.7169952392578,-30.58329963684082,"[-30.58329963684082, 135.7169952392578]",Mount Vivian Airport |  | small_airport
56611,AU,"145.10000610351562, -18.66670036315918",Valley of Lagoons Airport,small_airport,,145.10000610351562,-18.66670036315918,"[-18.66670036315918, 145.10000610351562]",Valley of Lagoons Airport |  | small_airport
56612,AU,"130.86700439453125, -22.33329963684082",Vaughan Springs Airport,small_airport,,130.86700439453125,-22.33329963684082,"[-22.33329963684082, 130.86700439453125]",Vaughan Springs Airport |  | small_airport
56613,AU,"131.00497436523438, -16.402124404907227",Victoria River Downs Airport,small_airport,,131.00497436523438,-16.402124404907227,"[-16.402124404907227, 131.00497436523438]",Victoria River Downs Airport |  | small_airport
56614,AU,"141.9499969482422, -16.963300704956055",Vanrook Station Airport,small_airport,,141.9499969482422,-16.963300704956055,"[-16.963300704956055, 141.9499969482422]",Vanrook Station Airport |  | small_airport
56615,AU,"131.98300170898438, -11.149999618530273",Vashon Head Airport,small_airport,,131.98300170898438,-11.149999618530273,"[-11.149999618530273, 131.98300170898438]",Vashon Head Airport |  | small_airport
56616,AU,"142.27000427246094, -37.5",Victoria Valley Airport,small_airport,,142.27000427246094,-37.5,"[-37.5, 142.27000427246094]",Victoria Valley Airport |  | small_airport
56617,AU,"143.58299255371094, -14.73330020904541",Violet Vale Airport,small_airport,,143.58299255371094,-14.73330020904541,"[-14.73330020904541, 143.58299255371094]",Violet Vale Airport |  | small_airport
56618,AU,"117.36699676513672, -24.75",Waldburg Homestead Airport,small_airport,,117.36699676513672,-24.75,"[-24.75, 117.36699676513672]",Waldburg Homestead Airport |  | small_airport
56619,AU,"134.215276, -20.640614",Wauchope Airport,small_airport,WAUCHOPE,134.215276,-20.640614,"[-20.640614, 134.215276]",Wauchope Airport | WAUCHOPE | small_airport
56620,AU,"144.16700744628906, -29.716699600219727",Wanaaring Airport,small_airport,,144.16700744628906,-29.716699600219727,"[-29.716699600219727, 144.16700744628906]",Wanaaring Airport |  | small_airport
56621,AU,"120.649002075, -19.7735996246",Wallal Airport,small_airport,WALLAL,120.649002075,-19.7735996246,"[-19.7735996246, 120.649002075]",Wallal Airport | WALLAL | small_airport
