,Unnamed: 0,_id,AIRPORT,Year_Ended_December,Rank,Dom_Acm_In,Dom_Acm_Out,Dom_Acm_Total,Int_Acm_In,Int_Acm_Out,Int_Acm_Total,Acm_In,Acm_Out,Acm_Total,Doc_In_Pct
1510,1510.0,1511.0,HERVEY BAY,2019.0,,1483.0,1483.0,2966.0,0.0,0.0,0.0,1483.0,1483.0,2966.0,0.0024449152193087302
1546,1546.0,1547.0,HOBART,2019.0,11.0,10156.0,10112.0,20268.0,0.0,0.0,0.0,10156.0,10112.0,20268.0,0.01674346525104482
1582,1582.0,1583.0,KALGOORLIE,2019.0,,2023.0,2011.0,4034.0,0.0,0.0,0.0,2023.0,2011.0,4034.0,0.0033351743011878366
1618,1618.0,1619.0,KARRATHA,2019.0,24.0,2996.0,2980.0,5976.0,0.0,0.0,0.0,2996.0,2980.0,5976.0,0.0049392892764996334
1654,1654.0,1655.0,KING ISLAND,2019.0,26.0,2795.0,2795.0,5590.0,0.0,0.0,0.0,2795.0,2795.0,5590.0,0.004607915062689077
1690,1690.0,1691.0,KINGSCOTE,2019.0,,1139.0,1139.0,2278.0,0.0,0.0,0.0,1139.0,1139.0,2278.0,0.0018777872115931515
1726,1726.0,1727.0,KOWANYAMA,2019.0,,613.0,609.0,1222.0,0.0,0.0,0.0,613.0,609.0,1222.0,0.001010608920725726
1762,1762.0,1763.0,KUNUNURRA,2019.0,,1064.0,1065.0,2129.0,0.0,0.0,0.0,1064.0,1065.0,2129.0,0.0017541401168877202
1798,1798.0,1799.0,LAUNCESTON,2019.0,12.0,7858.0,7796.0,15654.0,0.0,0.0,0.0,7858.0,7796.0,15654.0,0.0129549182692704
1834,1834.0,1835.0,LEARMONTH,2019.0,,633.0,633.0,1266.0,0.0,0.0,0.0,633.0,633.0,1266.0,0.001043581479313841
1870,1870.0,1871.0,LOCKHART RIVER,2019.0,,339.0,340.0,679.0,0.0,0.0,0.0,339.0,340.0,679.0,0.0005588848680685499
1906,1906.0,1907.0,LONGREACH,2019.0,,1056.0,850.0,1906.0,0.0,0.0,0.0,1056.0,850.0,1906.0,0.0017409510934524742
1942,1942.0,1943.0,LORD HOWE ISLAND,2019.0,,730.0,730.0,1460.0,0.0,0.0,0.0,730.0,730.0,1460.0,0.001203498388466199
1978,1978.0,1979.0,MACKAY,2019.0,14.0,5567.0,5561.0,11128.0,0.0,0.0,0.0,5567.0,5561.0,11128.0,0.009177911683001822
2014,2014.0,2015.0,MANINGRIDA,2019.0,,808.0,808.0,1616.0,0.0,0.0,0.0,808.0,808.0,1616.0,0.0013320913669598476
2050,2050.0,2051.0,MCARTHUR RIVER,2019.0,,314.0,314.0,628.0,0.0,0.0,0.0,314.0,314.0,628.0,0.0005176691698334061
2086,2086.0,2087.0,MELBOURNE,2019.0,2.0,95355.0,95688.0,191043.0,26037.0,25990.0,52027.0,121392.0,121678.0,243070.0,0.15720491620848548
2122,2122.0,2123.0,MERIMBULA,2019.0,,1540.0,1548.0,3088.0,0.0,0.0,0.0,1540.0,1548.0,3088.0,0.002538887011284858
2158,2158.0,2159.0,MILDURA,2019.0,22.0,3155.0,3150.0,6305.0,0.0,0.0,0.0,3155.0,3150.0,6305.0,0.005201421117275147
2194,2194.0,2195.0,MORANBAH,2019.0,,1223.0,1173.0,2396.0,0.0,0.0,0.0,1223.0,1173.0,2396.0,0.0020162719576632348
2230,2230.0,2231.0,MOREE,2019.0,,643.0,640.0,1283.0,0.0,0.0,0.0,643.0,640.0,1283.0,0.0010600677586078985
2266,2266.0,2267.0,MORNINGTON ISLAND,2019.0,,496.0,496.0,992.0,0.0,0.0,0.0,496.0,496.0,992.0,0.000817719452985253
2302,2302.0,2303.0,MOUNT GAMBIER,2019.0,,1810.0,1807.0,3617.0,0.0,0.0,0.0,1810.0,1807.0,3617.0,0.002984016552224411
2338,2338.0,2339.0,MOUNT ISA,2019.0,,2546.0,2436.0,4982.0,0.0,0.0,0.0,2546.0,2436.0,4982.0,0.004197406708267045
2374,2374.0,2375.0,NEWCASTLE,2019.0,13.0,7114.0,7111.0,14225.0,37.0,37.0,74.0,7151.0,7148.0,14299.0,0.01172833908979252
2410,2410.0,2411.0,NEWMAN,2019.0,,2130.0,2115.0,4245.0,0.0,0.0,0.0,2130.0,2115.0,4245.0,0.003511577489634252
2446,2446.0,2447.0,NORFOLK ISLAND,2019.0,,240.0,239.0,479.0,18.0,18.0,36.0,258.0,257.0,515.0,0.00039567070305738047
2482,2482.0,2483.0,OLYMPIC DAM,2019.0,,1046.0,1029.0,2075.0,0.0,0.0,0.0,1046.0,1029.0,2075.0,0.0017244648141584167
2518,2518.0,2519.0,ORANGE,2019.0,,1994.0,1861.0,3855.0,0.0,0.0,0.0,1994.0,1861.0,3855.0,0.0032873640912350695
2554,2554.0,2555.0,PALM ISLAND,2019.0,27.0,2592.0,2553.0,5145.0,0.0,0.0,0.0,2592.0,2553.0,5145.0,0.004273243593019709
2590,2590.0,2591.0,PARABURDOO,2019.0,,1183.0,1180.0,2363.0,0.0,0.0,0.0,1183.0,1180.0,2363.0,0.0019503268404870047
2626,2626.0,2627.0,PARKES,2019.0,,1078.0,1076.0,2154.0,0.0,0.0,0.0,1078.0,1076.0,2154.0,0.0017772209078994008
2662,2662.0,2663.0,PERTH,2019.0,4.0,35369.0,35332.0,70701.0,10836.0,10844.0,21680.0,46205.0,46176.0,92381.0,0.05831032123515204
2698,2698.0,2699.0,PORT HEDLAND,2019.0,,2381.0,2362.0,4743.0,51.0,51.0,102.0,2432.0,2413.0,4845.0,0.0039253830999150955
2734,2734.0,2735.0,PORT LINCOLN,2019.0,19.0,3715.0,3711.0,7426.0,0.0,0.0,0.0,3715.0,3711.0,7426.0,0.006124652757742369
2770,2770.0,2771.0,PORT MACQUARIE,2019.0,,2317.0,2315.0,4632.0,0.0,0.0,0.0,2317.0,2315.0,4632.0,0.0038198709124331277
