,Unnamed: 0,_id,AIRPORT,Year_Ended_December,Rank,Dom_Acm_In,Dom_Acm_Out,Dom_Acm_Total,Int_Acm_In,Int_Acm_Out,Int_Acm_Total,Acm_In,Acm_Out,Acm_Total,Doc_In_Pct,Doc_Out_Pct
1834,1834,1835,LEARMONTH,2019,,633,633,1266,0,0,0,633,633,1266,0.001043581479313841,0.00104426840172494
1870,1870,1871,LOCKHART RIVER,2019,,339,340,679,0,0,0,339,340,679,0.0005588848680685499,0.000560902459062369
1906,1906,1907,LONGREACH,2019,,1056,850,1906,0,0,0,1056,850,1906,0.0017409510934524742,0.0014022561476559226
1942,1942,1943,LORD HOWE ISLAND,2019,,730,730,1460,0,0,0,730,730,1460,0.001203498388466199,0.0012042905738692041
1978,1978,1979,MACKAY,2019,14.0,5567,5561,11128,0,0,0,5567,5561,11128,0.009177911683001822,0.009174054631899513
2014,2014,2015,MANINGRIDA,2019,,808,808,1616,0,0,0,808,808,1616,0.0013320913669598476,0.001332968196830571
2050,2050,2051,MCARTHUR RIVER,2019,,314,314,628,0,0,0,314,314,628,0.0005176691698334061,0.0005180099180752467
2086,2086,2087,MELBOURNE,2019,2.0,95355,95688,191043,26037,25990,52027,121392,121678,243070,0.15720491620848548,0.15785774853752932
2122,2122,2123,MERIMBULA,2019,,1540,1548,3088,0,0,0,1540,1548,3088,0.002538887011284858,0.0025537559018486687
2158,2158,2159,MILDURA,2019,22.0,3155,3150,6305,0,0,0,3155,3150,6305,0.005201421117275147,0.00519659631190136
2194,2194,2195,MORANBAH,2019,,1223,1173,2396,0,0,0,1223,1173,2396,0.0020162719576632348,0.0019351134837651733
2230,2230,2231,MOREE,2019,,643,640,1283,0,0,0,643,640,1283,0.0010600677586078985,0.0010558163935291652
2266,2266,2267,MORNINGTON ISLAND,2019,,496,496,992,0,0,0,496,496,992,0.000817719452985253,0.0008182577049851031
2302,2302,2303,MOUNT GAMBIER,2019,,1810,1807,3617,0,0,0,1810,1807,3617,0.002984016552224411,0.0029810315986050027
2338,2338,2339,MOUNT ISA,2019,,2546,2436,4982,0,0,0,2546,2436,4982,0.004197406708267045,0.004018701147870386
2374,2374,2375,NEWCASTLE,2019,13.0,7114,7111,14225,37,37,74,7151,7148,14299,0.01172833908979252,0.01173110995997796
2410,2410,2411,NEWMAN,2019,,2130,2115,4245,0,0,0,2130,2115,4245,0.003511577489634252,0.0034891432379909135
2446,2446,2447,NORFOLK ISLAND,2019,,240,239,479,18,18,36,258,257,515,0.00039567070305738047,0.00039428143445854766
2482,2482,2483,OLYMPIC DAM,2019,,1046,1029,2075,0,0,0,1046,1029,2075,0.0017244648141584167,0.001697554795221111
2518,2518,2519,ORANGE,2019,,1994,1861,3855,0,0,0,1994,1861,3855,0.0032873640912350695,0.003070116106809026
2554,2554,2555,PALM ISLAND,2019,27.0,2592,2553,5145,0,0,0,2592,2553,5145,0.004273243593019709,0.0042117175823124355
2590,2590,2591,PARABURDOO,2019,,1183,1180,2363,0,0,0,1183,1180,2363,0.0019503268404870047,0.0019466614755693985
2626,2626,2627,PARKES,2019,,1078,1076,2154,0,0,0,1078,1076,2154,0.0017772209078994008,0.001775091311620909
2662,2662,2663,PERTH,2019,4.0,35369,35332,70701,10836,10844,21680,46205,46176,92381,0.05831032123515204,0.058287663775269484
